"begin_date","end_date","ニンテンドー3DS","プレイステーションVita","WiiU","NINTENDOSWITCH","プレイステーション4","XboxOne"
"2016-12-26","2017-01-02",119848,32960,3204,"",93144,744
"2017-01-02","2017-01-09",121419,43616,3593,"",89346,402
"2017-01-09","2017-01-16",46381,16689,1332,"",49274,306
"2017-01-16","2017-01-23",34278,12286,1070,"",36413,350
"2017-01-23","2017-01-30",33890,11911,937,"",44243,483
"2017-01-30","2017-02-06",31299,9772,998,"",35980,117
"2017-02-06","2017-02-13",31569,8730,897,"",31110,178
"2017-02-13","2017-02-20",27377,8339,601,"",28820,110
"2017-02-20","2017-02-27",24740,11069,626,"",44158,525
"2017-02-27","2017-03-06",27078,9879,644,330637,36637,168
"2017-03-06","2017-03-13",24498,8819,678,63420,34565,121
"2017-03-13","2017-03-20",56537,8459,441,50821,32432,112
"2017-03-20","2017-03-27",51289,7529,383,79493,30479,85
"2017-03-27","2017-04-03",36332,7330,523,32262,28308,242
"2017-04-03","2017-04-10",26471,6313,393,45271,22076,108
"2017-04-10","2017-04-17",24085,6123,361,42700,22067,70
"2017-04-17","2017-04-24",21695,5414,376,40367,18846,73
"2017-04-24","2017-05-01",21602,6194,184,74217,24756,169
"2017-05-01","2017-05-08",23264,6921,418,47353,28498,97
"2017-05-08","2017-05-15",13730,4212,203,25257,17287,72
"2017-05-15","2017-05-22",13374,4596,206,27264,17034,97
"2017-05-22","2017-05-29",13049,4867,229,27440,19747,102
"2017-05-29","2017-06-05",12533,4843,186,25274,21286,51
"2017-06-05","2017-06-12",11519,4317,133,28293,19867,61
"2017-06-12","2017-06-19",12112,4573,253,49440,25117,69
"2017-06-19","2017-06-26",12651,4535,108,26964,26140,181
"2017-06-26","2017-07-03",12036,4914,135,24736,28642,82
"2017-07-03","2017-07-10",11228,4678,176,36143,28414,68
"2017-07-10","2017-07-17",48464,4487,216,25154,28793,35
"2017-07-17","2017-07-24",28831,4417,214,102581,27530,102
"2017-07-24","2017-07-31",126790,4364,207,105697,93954,103
"2017-07-31","2017-08-07",61995,4653,128,69686,52819,101
"2017-08-07","2017-08-14",46348,5038,136,77146,38015,87
"2017-08-14","2017-08-21",41175,5420,232,22154,39970,102
"2017-08-21","2017-08-28",26796,3953,89,85503,26335,63
"2017-08-28","2017-09-04",25185,4113,87,32857,29736,55
"2017-09-04","2017-09-11",22468,4182,105,47801,31595,84
"2017-09-11","2017-09-18",20413,4308,174,38006,27480,51
"2017-09-18","2017-09-25",18868,3871,73,50146,25819,26
"2017-09-25","2017-10-02",20680,4256,32,74500,34564,53
"2017-10-02","2017-10-09",23406,3987,35,38425,25398,189
"2017-10-09","2017-10-16",20157,4142,49,37227,26486,53
"2017-10-16","2017-10-23",15255,3832,33,23892,32007,71
"2017-10-23","2017-10-30",16465,3197,46,133094,26123,59
"2017-10-30","2017-11-06",20368,3309,38,63977,31963,65
"2017-11-06","2017-11-13",18687,3023,32,84593,29641,1688
"2017-11-13","2017-11-20",40582,2716,38,90303,31862,161
"2017-11-20","2017-11-27",32178,3396,131,133746,27806,204
"2017-11-27","2017-12-04",32246,4223,63,150583,31518,223
"2017-12-04","2017-12-11",45217,8676,98,193717,79242,3409
"2017-12-11","2017-12-18",53886,9561,101,230259,73142,1581
"2017-12-18","2017-12-25",89430,16155,103,303504,70581,569
"2017-12-25","2018-01-01",35357,7040,69,115255,58182,287
